Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-7.27766332e-43	-7.27766332e-43	-7.27766332e-43	-7.27766332e-43	0	0	0	0	0	0	3
2	1	0	0.05	2.62531751e-08	1.31265876e-08	-7.27766332e-43	2.62531751e-08	1.31265876e-08	0	0	0	0	0	3
3	1	0	0.075	9.88639878e-08	4.1705721e-08	-7.27766332e-43	9.88639878e-08	4.1705721e-08	0	0	0	0	0	3
4	1	0	0.1	3.5578851e-08	4.01740035e-08	-7.27766332e-43	9.88639878e-08	4.1705721e-08	0	0	0	0	0	3
5	1	0	0.125	4.32588979e-08	4.07909824e-08	-7.27766332e-43	9.88639878e-08	4.1705721e-08	0	0	0	0	0	3
6	1	0	0.15	2.40717447e-08	3.80044427e-08	-7.27766332e-43	9.88639878e-08	4.1705721e-08	0	0	0	0	0	3
7	1	0	0.175	-1.74997478e-09	3.23252402e-08	-1.74997478e-09	9.88639878e-08	4.1705721e-08	0	0	0	0	0	3
8	1	0	0.2	-5.55100393e-08	2.13458303e-08	-5.55100393e-08	9.88639878e-08	4.1705721e-08	0	0	0	0	0	3
9	1	0	0.225	3.73115556e-07	6.04313553e-08	-5.55100393e-08	3.73115556e-07	6.04313553e-08	0	0	0	0	0	3
10	1	0	0.25	1.22433181e-06	1.76821401e-07	-5.55100393e-08	1.22433181e-06	1.76821401e-07	0	0	0	0	0	3
11	1	0	0.275	9.01752449e-07	2.42724223e-07	-5.55100393e-08	1.22433181e-06	2.42724223e-07	0	0	0	0	0	3
12	1	0	0.3	-3.15908359e-06	-4.07597612e-08	-3.15908359e-06	1.22433181e-06	2.83483984e-07	0	0	0	0	0	3
13	1	0	0.325	3.72297147e-07	-8.98615288e-09	-3.15908359e-06	1.22433181e-06	2.83483984e-07	0	0	0	0	0	3
14	2	0	0.35	4.48269337e-07	2.36749535e-08	-3.15908359e-06	1.22433181e-06	2.83483984e-07	0	0	0	0	0	3
15	2	0	0.375	-3.62530802e-06	-2.19590578e-07	-3.62530802e-06	1.22433181e-06	4.62314801e-07	0	0	0	0	0	3
16	2	0	0.4	2.42594647e-06	-5.42445127e-08	-3.62530802e-06	2.42594647e-06	4.62314801e-07	0	0	0	0	0	3
17	2	0	0.425	-2.38157007e-06	-1.91146016e-07	-3.62530802e-06	2.42594647e-06	4.62314801e-07	0	0	0	0	0	3
18	2	0	0.45	4.51360311e-06	7.0228935e-08	-3.62530802e-06	4.51360311e-06	4.62314801e-07	0	0	0	0	0	3
19	2	0	0.475	-2.12161198e-06	-4.51311134e-08	-3.62530802e-06	4.51360311e-06	4.62314801e-07	0	0	0	0	0	3
20	2	0	0.5	5.13769573e-07	-1.71860791e-08	-3.62530802e-06	4.51360311e-06	4.62314801e-07	0	0	0	0	0	3
21	2	0	0.525	1.3265259e-06	4.9140216e-08	-3.62530802e-06	4.51360311e-06	4.62314801e-07	0	0	0	0	0	3
22	2	0	0.55	-8.28800436e-06	-3.66572661e-07	-8.28800436e-06	4.51360311e-06	6.09296884e-07	0	0	0	0	0	3
23	2	0	0.575	7.50170589e-06	3.56943437e-09	-8.28800436e-06	7.50170589e-06	6.09296884e-07	0	0	0	0	0	3
24	2	0	0.6	-1.78494266e-06	-8.74566413e-08	-8.28800436e-06	7.50170589e-06	6.09296884e-07	0	0	0	0	0	3
25	2	0	0.625	2.9687441e-06	5.88176186e-08	-8.28800436e-06	7.50170589e-06	6.09296884e-07	0	0	0	0	0	3
26	2	0	0.65	4.02803167e-06	2.59015615e-07	-8.28800436e-06	7.50170589e-06	6.25588276e-07	0	0	0	0	0	3
27	2	0	0.675	-6.26080656e-06	-5.3937214e-08	-8.28800436e-06	7.50170589e-06	6.25588276e-07	0	0	0	0	0	3
28	2	0	0.7	2.82769724e-06	9.02231497e-08	-8.28800436e-06	7.50170589e-06	6.25588276e-07	0	0	0	0	0	3
29	2	0	0.725	1.64995968e-05	8.96547212e-07	-8.28800436e-06	1.64995968e-05	1.26311987e-06	0	0	0	0	0	3
30	3	0	0.75	-1.13958861e-05	2.65536319e-07	-1.13958861e-05	1.64995968e-05	1.26311987e-06	0	0	0	0	0	3
31	3	0	0.775	-1.24234191e-05	-4.00722257e-07	-1.24234191e-05	1.64995968e-05	1.29726947e-06	0	0	0	0	0	3
32	3	0	0.8	6.7234685e-06	9.34053475e-08	-1.24234191e-05	1.64995968e-05	1.29726947e-06	0	0	0	0	0	3
33	3	0	0.825	-1.14829735e-05	-4.99358184e-07	-1.24234191e-05	1.64995968e-05	1.3959054e-06	0	0	0	0	0	3
34	3	0	0.85	2.03045076e-05	4.93453731e-07	-1.24234191e-05	2.03045076e-05	1.3959054e-06	0	0	0	0	0	3
35	3	0	0.875	1.33704774e-05	1.343243e-06	-1.24234191e-05	2.03045076e-05	1.84260118e-06	0	0	0	0	0	3
36	3	0	0.9	-1.22578894e-05	6.09051205e-07	-1.24234191e-05	2.03045076e-05	1.84260118e-06	0	0	0	0	0	3
