Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	3023454.95	3023454.95	3023454.95	3023454.95	0	0	0	0	0	0	3
2	1	0	0.05	3023440.75	3023447.85	3023440.75	3023454.95	7.09644883	0	0	0	0	0	3
3	1	0	0.075	3023437.19	3023444.3	3023437.19	3023454.95	10.6506009	0	0	0	0	0	3
4	1	0	0.1	3023438.97	3023442.96	3023437.19	3023454.95	11.9817206	0	0	0	0	0	3
5	1	0	0.125	3023440.34	3023442.44	3023437.19	3023454.95	12.505907	0	0	0	0	0	3
6	1	0	0.15	3023440.59	3023442.13	3023437.19	3023454.95	12.8148702	0	0	0	0	0	3
7	1	0	0.175	3023441	3023441.97	3023437.19	3023454.95	12.975808	0	0	0	0	0	3
8	1	0	0.2	3023442.15	3023441.99	3023437.19	3023454.95	12.975808	0	0	0	0	0	3
9	1	0	0.225	3023442.8	3023442.08	3023437.19	3023454.95	12.975808	0	0	0	0	0	3
10	1	0	0.25	3023440.05	3023441.88	3023437.19	3023454.95	13.0669753	0	0	0	0	0	3
11	1	0	0.275	3023434.38	3023441.2	3023434.38	3023454.95	13.7484322	0	0	0	0	0	3
12	1	0	0.3	3023427.58	3023440.06	3023427.58	3023454.95	14.8828405	0	0	0	0	0	3
13	1	0	0.325	3023419.61	3023438.49	3023419.61	3023454.95	16.4562773	0	0	0	0	0	3
14	2	0	0.35	3023412.37	3023436.62	3023412.37	3023454.95	18.3216668	0	0	0	0	0	3
15	2	0	0.375	3023406.69	3023434.63	3023406.69	3023454.95	20.317448	0	0	0	0	0	3
16	2	0	0.4	3023401.96	3023432.59	3023401.96	3023454.95	22.3590446	0	0	0	0	0	3
17	2	0	0.425	3023395.46	3023430.4	3023395.46	3023454.95	24.5428708	0	0	0	0	0	3
18	2	0	0.45	3023386.91	3023427.99	3023386.91	3023454.95	26.9590817	0	0	0	0	0	3
19	2	0	0.475	3023378.45	3023425.38	3023378.45	3023454.95	29.566482	0	0	0	0	0	3
20	2	0	0.5	3023369.91	3023422.61	3023369.91	3023454.95	32.3398116	0	0	0	0	0	3
