Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	1	0	0.05	293.2	293.2	293.2	293.2	1.18517789e-07	0	0	0	0	0	3
3	1	0	0.075	293.200001	293.2	293.2	293.200001	2.36516371e-07	0	0	0	0	0	3
4	1	0	0.1	293.200001	293.200001	293.2	293.200001	3.54548376e-07	0	0	0	0	0	3
5	1	0	0.125	293.200001	293.200001	293.2	293.200001	4.77414744e-07	0	0	0	0	0	3
6	1	0	0.15	293.200002	293.200001	293.2	293.200002	6.68323253e-07	0	0	0	0	0	3
7	1	0	0.175	293.200004	293.200001	293.2	293.200004	1.12472168e-06	0	0	0	0	0	3
8	1	0	0.2	293.200009	293.200002	293.2	293.200009	2.08780841e-06	0	0	0	0	0	3
9	1	0	0.225	293.200014	293.200004	293.2	293.200014	3.35023606e-06	0	0	0	0	0	3
10	1	0	0.25	293.200017	293.200005	293.2	293.200017	4.698758e-06	0	0	0	0	0	3
11	1	0	0.275	293.200019	293.200006	293.2	293.200019	6.02060237e-06	0	0	0	0	0	3
12	1	0	0.3	293.200024	293.200008	293.2	293.200024	7.51461272e-06	0	0	0	0	0	3
13	1	0	0.325	293.200029	293.200009	293.2	293.200029	9.11639222e-06	0	0	0	0	0	3
14	2	0	0.35	293.200032	293.200011	293.2	293.200032	1.07604723e-05	0	0	0	0	0	3
15	2	0	0.375	293.200036	293.200013	293.2	293.200036	1.23937292e-05	0	0	0	0	0	3
16	2	0	0.4	293.200038	293.200014	293.2	293.200038	1.4001256e-05	0	0	0	0	0	3
17	2	0	0.425	293.200041	293.200016	293.2	293.200041	1.55951067e-05	0	0	0	0	0	3
18	2	0	0.45	293.200045	293.200017	293.2	293.200045	1.71909689e-05	0	0	0	0	0	3
19	2	0	0.475	293.200048	293.200019	293.2	293.200048	1.87791252e-05	0	0	0	0	0	3
20	2	0	0.5	293.200051	293.200021	293.2	293.200051	2.0355492e-05	0	0	0	0	0	3
21	2	0	0.525	293.200054	293.200023	293.2	293.200054	2.29017879e-05	0	0	0	0	0	3
22	2	0	0.55	293.200057	293.200026	293.200001	293.200057	2.56074623e-05	0	0	0	0	0	3
23	2	0	0.575	293.200061	293.200029	293.200001	293.200061	2.84868077e-05	0	0	0	0	0	3
24	2	0	0.6	293.200064	293.200032	293.200001	293.200064	3.15275043e-05	0	0	0	0	0	3
25	2	0	0.625	293.200068	293.200036	293.200002	293.200068	3.46583107e-05	0	0	0	0	0	3
26	2	0	0.65	293.200071	293.200039	293.200004	293.200071	3.76776637e-05	0	0	0	0	0	3
27	2	0	0.675	293.200076	293.200043	293.200009	293.200076	4.02979561e-05	0	0	0	0	0	3
28	2	0	0.7	293.200081	293.200046	293.200014	293.200081	4.26181821e-05	0	0	0	0	0	3
29	2	0	0.725	293.200086	293.20005	293.200017	293.200086	4.48751147e-05	0	0	0	0	0	3
30	3	0	0.75	293.200091	293.200053	293.200019	293.200091	4.72292004e-05	0	0	0	0	0	3
31	3	0	0.775	293.200096	293.200057	293.200024	293.200096	4.95581735e-05	0	0	0	0	0	3
32	3	0	0.8	293.200103	293.200061	293.200029	293.200103	5.18736959e-05	0	0	0	0	0	3
33	3	0	0.825	293.20011	293.200065	293.200032	293.20011	5.42824745e-05	0	0	0	0	0	3
34	3	0	0.85	293.200117	293.20007	293.200036	293.200117	5.68769969e-05	0	0	0	0	0	3
35	3	0	0.875	293.200124	293.200074	293.200038	293.200124	5.97100096e-05	0	0	0	0	0	3
36	3	0	0.9	293.200133	293.200079	293.200041	293.200133	6.28278689e-05	0	0	0	0	0	3
37	3	0	0.925	293.200142	293.200084	293.200045	293.200142	6.6281364e-05	0	0	0	0	0	3
38	3	0	0.95	293.200153	293.200089	293.200048	293.200153	7.01069421e-05	0	0	0	0	0	3
39	3	0	0.975	293.200163	293.200095	293.200051	293.200163	7.43085234e-05	0	0	0	0	0	3
40	3	0	1	293.200174	293.200101	293.200054	293.200174	7.77974922e-05	1.07044872e-05	0	13.7	0	0	3
41	3	0	1.025	293.200187	293.200108	293.200057	293.200187	8.16221217e-05	1.15018756e-05	0	14	0	0	3
42	3	0	1.05	293.200201	293.200115	293.200061	293.200201	8.5808162e-05	1.19388385e-05	0	13.9	0	0	3
43	3	0	1.075	293.200216	293.200123	293.200064	293.200216	9.04045122e-05	1.23941018e-05	0	13.7	0	0	3
44	3	0	1.1	293.200231	293.200128	293.200064	293.200231	9.5554777e-05	1.28490354e-05	0	13.4	0	0	3
45	4	0	1.125	293.200246	293.200136	293.200068	293.200246	0.000100881937	1.33001332e-05	0	13.1	0	0	3
46	4	0	1.15	293.20026	293.200146	293.200071	293.20026	0.000106575921	1.37490457e-05	0	12.9	0	0	3
47	4	0	1.175	293.200275	293.200155	293.200076	293.200275	0.000112703642	1.41834589e-05	0	12.5	0	0	3
48	4	0	1.2	293.20029	293.200166	293.200081	293.20029	0.000119309864	1.45824732e-05	0	12.2	0	0	3
49	4	0	1.225	293.200304	293.200176	293.200086	293.200304	0.000126342913	1.49600479e-05	0	11.8	0	0	3
50	4	0	1.25	293.200317	293.200187	293.200091	293.200317	0.000133688251	1.53223351e-05	0	11.4	0	0	3
51	4	0	1.275	293.200331	293.200199	293.200096	293.200331	0.000141306973	1.56819031e-05	0	11	0	0	3
52	4	0	1.3	293.200345	293.20021	293.200103	293.200345	0.000149263745	1.60316614e-05	0	10.7	0	0	3
53	4	0	1.325	293.20036	293.200223	293.20011	293.20036	0.000157455636	1.63751904e-05	0	10.3	0	0	3
54	4	0	1.35	293.200373	293.200235	293.200117	293.200373	0.000165760928	1.671103e-05	0	10	0	0	3
55	4	0	1.375	293.200385	293.200248	293.200124	293.200385	0.000174081124	1.70390265e-05	0	9.7	0	0	3
56	4	0	1.4	293.200396	293.200261	293.200133	293.200396	0.000182320167	1.73589762e-05	0	9.5	0	0	3
57	4	0	1.425	293.200409	293.200274	293.200142	293.200409	0.000190435466	1.76769278e-05	0	9.2	0	0	3
58	4	0	1.45	293.200427	293.200288	293.200153	293.200427	0.000198558513	1.80088242e-05	0	9	0	0	3
59	4	0	1.475	293.200446	293.200302	293.200163	293.200446	0.000206734173	1.83586324e-05	0	8.8	0	0	3
60	4	0	1.5	293.200463	293.200316	293.200174	293.200463	0.000214835996	1.87159627e-05	0	8.7	0	0	3
61	5	0	1.525	293.200478	293.20033	293.200187	293.200478	0.000222678659	1.90758461e-05	0	8.5	0	0	3
62	5	0	1.55	293.200492	293.200345	293.200201	293.200492	0.000230033053	1.94324185e-05	0	8.4	0	0	3
63	5	0	1.575	293.200506	293.200359	293.200216	293.200506	0.000236810749	1.97859851e-05	0	8.3	0	0	3
64	5	0	1.6	293.200519	293.200374	293.200231	293.200519	0.000246085446	2.01341133e-05	0	8.1	0	0	3
65	5	0	1.625	293.200531	293.200388	293.200246	293.200531	0.000251715502	2.04753328e-05	0	8.1	0	0	3
66	5	0	1.65	293.200542	293.200402	293.20026	293.200542	0.000256627332	2.08073578e-05	0	8.1	0	0	3
67	5	0	1.675	293.200556	293.200416	293.200275	293.200556	0.000261008315	2.11381516e-05	0	8	0	0	3
