;26.25
249;26.00
500;25.75
751;26.25
1002;26.00
1253;26.25
1503;25.75
1754;26.00
2004;26.00
2255;25.75
2506;26.00
2757;26.25
3007;26.00
3258;26.00
3509;25.75
3760;26.00
4011;25.75
4261;25.75
4512;25.75
4762;25.75
5013;26.25
5264;25.75
5515;26.25
5766;26.00
6017;26.25
6267;26.25
6517;25.75
6768;26.00
7019;26.00
7270;26.00
7521;26.25
7772;26.00
8022;26.25
8272;26.25
8523;26.25
8774;25.75
9025;25.75
9276;26.25
9527;26.00
9777;26.25
10028;26.25
10278;26.50
10529;26.00
10780;25.75
11031;26.00
11282;26.25
11533;26.50
11784;25.75
12034;26.00
12284;25.75
12535;26.25
12786;26.25
13037;26.00
13288;26.25
13539;26.25
13790;25.50
14041;26.25
14291;26.25
14541;25.75
14792;26.25
15043;25.75
15294;26.00
15545;26.25
15796;25.75
16047;26.25
16297;26.25
16548;26.25
16798;26.25
17049;26.00
17300;26.25
17551;26.00
17802;25.75
18053;25.75
18304;25.75
18554;25.50
18805;25.75
19056;26.00
19306;26.25
19557;26.25
19808;26.25
20059;26.25
20310;26.00
20560;26.25
20811;26.00
21062;26.25
21313;25.75
21563;26.25
21814;26.00
22065;26.25
22316;26.25
22566;25.75
22817;26.25
23068;26.25
23319;25.75
23570;25.75
23821;26.25
24071;26.00
24322;25.50
24572;26.00
24823;25.75
25074;26.25
25325;26.00
25576;25.75
25827;25.75
26078;26.00
26329;26.25
26578;26.25
26829;26.00
27080;26.25
27331;25.75
27582;26.00
27833;25.75
28084;26.00
28335;26.25
28585;26.00
28835;26.00
29086;26.00
29337;25.75
29588;26.25
29839;26.00
30090;26.00
30341;26.00
30592;26.00
30842;26.00
31092;26.25
31343;26.25
31594;26.00
31845;26.00
32096;26.25
32347;26.00
32598;25.75
32848;26.00
33099;26.25
33350;26.00
33600;25.75
33851;25.75
34102;26.25
34353;26.00
34604;26.50
34854;26.50
35105;26.25
35356;26.25
35607;26.25
35858;26.25
36108;25.75
36359;25.75
36610;26.00
36860;26.00
37111;25.75
37362;25.50
37613;25.25
37864;25.75
38115;26.00
38365;25.75
38616;26.25
38866;26.25
39117;35.00
39368;52.25
39619;70.75
39870;84.50
40121;96.00
40372;106.50
40623;114.75
40873;121.50
41123;127.00
41374;132.00
41625;135.75
41876;139.75
42127;142.75
42378;145.75
42629;147.75
42880;151.25
43130;153.00
43381;155.75
43632;157.50
43883;158.50
44134;158.25
44385;156.25
44636;154.00
44887;150.75
45137;146.75
45387;144.00
45638;140.50
45889;138.00
46140;136.25
46391;134.00
46642;132.50
46893;131.50
47143;130.75
47394;130.75
47645;130.50
47896;130.75
48147;131.25
48398;131.25
48649;131.75
48900;132.50
49150;133.00
49401;134.50
49652;134.75
49902;135.00
50153;134.25
50404;132.50
50655;130.00
50906;127.00
51156;124.50
51407;122.25
51658;120.25
51909;119.75
52160;118.50
52411;117.75
52662;116.75
52913;115.75
53164;115.25
53414;114.75
53665;114.00
53916;113.75
54166;112.75
54417;112.25
54668;111.75
54919;111.50
55170;111.50
55420;111.25
55671;110.75
55922;110.00
56173;110.25
56424;109.50
56675;109.50
56926;109.25
57177;109.00
57427;108.50
57678;108.75
57929;108.50
58180;107.75
58430;108.25
58681;108.25
58932;107.75
59183;107.75
59433;107.25
59684;107.25
59935;107.50
60186;107.00
60437;107.00
60688;107.25
60939;107.25
61190;106.50
61441;106.75
61691;106.75
61942;106.75
62193;106.25
62444;106.25
62695;106.25
62945;106.75
63196;106.25
63447;106.50
63697;106.50
63948;106.00
64199;106.00
64450;106.25
64701;106.00
64952;106.00
65203;105.75
65454;105.25
65704;105.75
65955;105.50
66206;105.75
66457;105.50
66708;105.75
66959;105.50
67209;105.25
67460;105.25
