Время;Давление, атм
14.03.2024 15:20:26:930;0,12
14.03.2024 15:20:27:009;0,12
14.03.2024 15:20:27:087;0,12
14.03.2024 15:20:27:165;0,12
14.03.2024 15:20:27:319;0,12
14.03.2024 15:20:27:395;0,11
14.03.2024 15:20:27:478;0,12
14.03.2024 15:20:27:557;0,12
14.03.2024 15:20:27:635;0,12
14.03.2024 15:20:27:713;0,12
14.03.2024 15:20:27:791;0,12
14.03.2024 15:20:28:260;0,12
14.03.2024 15:20:28:338;0,11
14.03.2024 15:20:28:416;0,12
14.03.2024 15:20:28:651;0,12
14.03.2024 15:20:28:729;0,11
14.03.2024 15:20:28:807;0,11
14.03.2024 15:20:28:885;0,12
14.03.2024 15:20:28:964;0,11
14.03.2024 15:20:29:042;0,12
14.03.2024 15:20:29:354;0,12
14.03.2024 15:20:29:433;0,11
14.03.2024 15:20:29:511;0,12
14.03.2024 15:20:29:589;0,12
14.03.2024 15:20:29:745;0,12
14.03.2024 15:20:29:823;0,11
14.03.2024 15:20:29:901;0,12
14.03.2024 15:20:29:995;0,12
14.03.2024 15:20:30:073;0,11
14.03.2024 15:20:30:151;0,12
14.03.2024 15:20:30:386;0,12
14.03.2024 15:20:30:464;0,11
14.03.2024 15:20:30:542;0,11
14.03.2024 15:20:30:620;0,12
14.03.2024 15:20:30:698;0,12
14.03.2024 15:20:30:777;0,12
14.03.2024 15:20:30:855;0,11
14.03.2024 15:20:31:793;0,11
14.03.2024 15:20:31:871;0,12
14.03.2024 15:20:31:949;0,11
14.03.2024 15:20:32:027;0,11
14.03.2024 15:20:32:339;0,11
14.03.2024 15:20:32:418;0,12
14.03.2024 15:20:32:496;0,11
14.03.2024 15:20:32:668;0,11
14.03.2024 15:20:32:746;0,12
14.03.2024 15:20:32:824;0,11
14.03.2024 15:20:32:902;0,12
14.03.2024 15:20:32:980;0,12
14.03.2024 15:20:33:059;0,11
14.03.2024 15:20:33:136;0,12
14.03.2024 15:20:33:371;0,12
14.03.2024 15:20:33:449;0,12
14.03.2024 15:20:33:527;0,12
14.03.2024 15:20:33:606;0,12
14.03.2024 15:20:33:840;0,12
14.03.2024 15:20:33:918;0,12
14.03.2024 15:20:33:996;0,11
14.03.2024 15:20:34:074;0,12
14.03.2024 15:20:34:152;0,12
14.03.2024 15:20:34:230;0,12
14.03.2024 15:20:34:309;0,12
14.03.2024 15:20:34:387;0,12
14.03.2024 15:20:34:465;0,12
14.03.2024 15:20:34:543;0,12
14.03.2024 15:20:34:621;0,13
