Время;Давление, атм;;;Давление, атм
14.03.2024 16:55:48:068;18,89;;;18,89
14.03.2024 16:55:48:145;18,89;;;18,89
14.03.2024 16:55:48:221;18,88;;;18,88
14.03.2024 16:55:48:300;18,87;;;18,87
14.03.2024 16:55:48:377;18,87;;;18,87
14.03.2024 16:55:48:457;18,87;;;18,87
14.03.2024 16:55:48:534;18,86;;;18,86
14.03.2024 16:55:48:688;18,86;;;18,86
14.03.2024 16:55:48:767;18,86;;;18,86
14.03.2024 16:55:48:844;18,85;;;18,85
14.03.2024 16:55:48:922;18,84;;;18,84
14.03.2024 16:55:48:999;18,84;;;18,84
14.03.2024 16:55:49:077;18,84;;;18,84
14.03.2024 16:55:49:232;18,84;;;18,84
14.03.2024 16:55:49:308;18,83;;;18,83
14.03.2024 16:55:49:385;18,83;;;18,83
14.03.2024 16:55:49:462;18,82;;;18,82
14.03.2024 16:55:49:539;18,82;;;18,82
14.03.2024 16:55:49:617;18,81;;;18,81
14.03.2024 16:55:49:695;18,81;;;18,81
14.03.2024 16:55:49:773;18,81;;;18,81
14.03.2024 16:55:49:850;18,81;;;18,81
14.03.2024 16:55:49:927;18,8;;;18,8
14.03.2024 16:55:50:004;18,8;;;18,8
14.03.2024 16:55:50:082;18,79;;;18,79
14.03.2024 16:55:50:235;18,79;;;18,79
14.03.2024 16:55:50:312;18,78;;;18,78
14.03.2024 16:55:50:390;18,78;;;18,78
14.03.2024 16:55:50:468;18,77;;;18,77
14.03.2024 16:55:50:621;18,76;;;18,76
14.03.2024 16:55:50:699;18,76;;;18,76
14.03.2024 16:55:50:852;18,76;;;18,76
14.03.2024 16:55:50:929;18,75;;;18,75
14.03.2024 16:55:51:006;18,74;;;18,74
14.03.2024 16:55:51:161;18,73;;;18,73
14.03.2024 16:55:51:239;18,73;;;18,73
14.03.2024 16:55:51:315;18,73;;;18,73
14.03.2024 16:55:51:393;18,73;;;18,73
14.03.2024 16:55:51:470;18,71;;;18,71
14.03.2024 16:55:51:623;18,71;;;18,71
14.03.2024 16:55:51:700;18,71;;;18,71
14.03.2024 16:55:51:778;18,71;;;18,71
14.03.2024 16:55:51:857;18,7;;;18,7
14.03.2024 16:55:51:935;18,7;;;18,7
14.03.2024 16:55:52:012;18,7;;;18,7
14.03.2024 16:55:52:166;18,69;;;18,69
14.03.2024 16:55:52:243;18,68;;;18,68
14.03.2024 16:55:52:400;18,68;;;18,68
14.03.2024 16:55:52:479;18,68;;;18,68
14.03.2024 16:55:52:556;18,68;;;18,68
14.03.2024 16:55:52:633;18,66;;;18,66
