Дата Время;давление
14.03.2024 17:43:38:062;26
14.03.2024 17:43:38:140;26
14.03.2024 17:43:38:295;26
14.03.2024 17:43:38:372;26
14.03.2024 17:43:38:450;26
14.03.2024 17:43:38:526;25,99
14.03.2024 17:43:38:605;26
14.03.2024 17:43:38:682;26
14.03.2024 17:43:38:760;25,99
14.03.2024 17:43:38:839;26
14.03.2024 17:43:38:996;26
14.03.2024 17:43:39:075;25,99
14.03.2024 17:43:39:231;25,99
14.03.2024 17:43:39:310;26
14.03.2024 17:43:39:386;25,99
14.03.2024 17:43:39:463;25,99
14.03.2024 17:43:39:694;25,99
14.03.2024 17:43:39:771;25,98
14.03.2024 17:43:39:850;25,99
14.03.2024 17:43:40:162;25,99
14.03.2024 17:43:40:240;25,98
14.03.2024 17:43:40:318;25,99
14.03.2024 17:43:40:396;25,99
14.03.2024 17:43:40:474;25,99
14.03.2024 17:43:40:704;25,99
14.03.2024 17:43:40:782;25,98
14.03.2024 17:43:40:860;25,98
14.03.2024 17:43:40:938;25,98
14.03.2024 17:43:41:017;25,98
14.03.2024 17:43:41:097;25,98
14.03.2024 17:43:41:177;25,98
14.03.2024 17:43:41:255;25,98
14.03.2024 17:43:41:332;25,98
14.03.2024 17:43:41:409;25,98
14.03.2024 17:43:41:488;25,98
14.03.2024 17:43:41:719;25,98
14.03.2024 17:43:41:796;25,97
14.03.2024 17:43:41:875;25,97
14.03.2024 17:43:41:954;25,98
14.03.2024 17:43:42:031;25,97
14.03.2024 17:43:42:110;25,97
14.03.2024 17:43:42:187;25,98
14.03.2024 17:43:42:265;25,98
14.03.2024 17:43:42:343;25,97
14.03.2024 17:43:42:420;25,97
14.03.2024 17:43:42:652;25,97
14.03.2024 17:43:42:729;25,97
14.03.2024 17:43:42:809;25,98
14.03.2024 17:43:42:887;25,97
14.03.2024 17:43:42:965;25,97
14.03.2024 17:43:43:044;25,97
14.03.2024 17:43:43:123;25,97
14.03.2024 17:43:43:358;25,97
14.03.2024 17:43:43:435;25,97
14.03.2024 17:43:43:512;25,97
14.03.2024 17:43:43:589;25,97
14.03.2024 17:43:43:666;25,95
14.03.2024 17:43:43:744;24,98
14.03.2024 17:43:43:821;23,59
14.03.2024 17:43:43:899;22,3
14.03.2024 17:43:43:977;21,22
14.03.2024 17:43:44:055;20,19
14.03.2024 17:43:44:133;19,34
14.03.2024 17:43:44:210;18,53
14.03.2024 17:43:44:287;17,83
14.03.2024 17:43:44:364;17,19
14.03.2024 17:43:44:441;16,57
14.03.2024 17:43:44:519;16,05
