Дата Время;давление
14.03.2024 20:12:36:208;26,56
14.03.2024 20:12:36:286;26,56
14.03.2024 20:12:36:364;26,55
14.03.2024 20:12:36:442;26,56
14.03.2024 20:12:36:599;26,56
14.03.2024 20:12:36:677;26,57
14.03.2024 20:12:36:755;26,57
14.03.2024 20:12:36:833;26,57
14.03.2024 20:12:36:911;26,57
14.03.2024 20:12:36:989;26,57
14.03.2024 20:12:37:068;26,57
14.03.2024 20:12:37:146;26,57
14.03.2024 20:12:37:224;26,58
14.03.2024 20:12:37:537;26,58
14.03.2024 20:12:37:631;26,59
14.03.2024 20:12:37:787;26,59
14.03.2024 20:12:37:865;26,60
14.03.2024 20:12:37:943;26,59
14.03.2024 20:12:38:021;26,59
14.03.2024 20:12:38:099;26,60
14.03.2024 20:12:38:255;26,60
14.03.2024 20:12:38:334;26,61
14.03.2024 20:12:38:412;26,61
14.03.2024 20:12:38:568;26,61
14.03.2024 20:12:38:647;26,62
14.03.2024 20:12:38:881;26,62
14.03.2024 20:12:38:959;26,62
14.03.2024 20:12:39:053;26,62
14.03.2024 20:12:39:131;26,62
14.03.2024 20:12:39:209;26,63
14.03.2024 20:12:39:287;26,62
14.03.2024 20:12:39:365;26,64
14.03.2024 20:12:39:443;26,63
14.03.2024 20:12:39:522;26,64
14.03.2024 20:12:39:756;26,64
14.03.2024 20:12:39:834;26,64
14.03.2024 20:12:39:913;26,64
14.03.2024 20:12:39:991;26,64
14.03.2024 20:12:40:069;26,65
14.03.2024 20:12:40:147;26,64
14.03.2024 20:12:40:225;26,64
14.03.2024 20:12:40:303;26,65
14.03.2024 20:12:40:381;26,66
14.03.2024 20:12:40:538;26,66
14.03.2024 20:12:40:616;26,66
14.03.2024 20:12:40:694;26,66
14.03.2024 20:12:40:772;26,66
14.03.2024 20:12:41:007;26,66
14.03.2024 20:12:41:084;26,67
14.03.2024 20:12:41:163;26,66
14.03.2024 20:12:41:241;26,67
14.03.2024 20:12:41:397;26,67
14.03.2024 20:12:41:475;26,67
14.03.2024 20:12:41:648;26,67
14.03.2024 20:12:41:725;26,68
14.03.2024 20:12:41:882;26,68
14.03.2024 20:12:41:960;26,69
14.03.2024 20:12:42:038;26,68
14.03.2024 20:12:42:116;26,69
14.03.2024 20:12:42:507;26,69
14.03.2024 20:12:42:585;26,69
14.03.2024 20:12:42:741;26,69
14.03.2024 20:12:42:820;26,70
14.03.2024 20:12:42:898;26,71
14.03.2024 20:12:42:976;26,71
14.03.2024 20:12:43:054;26,70
14.03.2024 20:12:43:132;26,71
14.03.2024 20:12:43:210;26,71
14.03.2024 20:12:43:288;26,71
14.03.2024 20:12:43:366;26,71
14.03.2024 20:12:43:679;26,71
14.03.2024 20:12:43:757;26,72
14.03.2024 20:12:43:836;26,71
14.03.2024 20:12:43:914;26,72
14.03.2024 20:12:43:992;26,71
14.03.2024 20:12:44:070;26,71
14.03.2024 20:12:44:148;26,72
14.03.2024 20:12:44:226;26,72
14.03.2024 20:12:44:304;26,72
14.03.2024 20:12:44:461;26,72
14.03.2024 20:12:44:539;26,73
14.03.2024 20:12:44:617;26,73
14.03.2024 20:12:44:695;26,72
14.03.2024 20:12:44:773;26,73
14.03.2024 20:12:44:852;26,74
14.03.2024 20:12:45:008;26,74
14.03.2024 20:12:45:101;26,73
14.03.2024 20:12:45:179;26,74
14.03.2024 20:12:45:258;26,74
14.03.2024 20:12:45:336;26,74
14.03.2024 20:12:45:414;26,74
14.03.2024 20:12:45:493;26,75
14.03.2024 20:12:45:571;26,75
14.03.2024 20:12:45:649;26,74
14.03.2024 20:12:45:727;26,74
14.03.2024 20:12:45:805;26,75
14.03.2024 20:12:46:039;26,75
14.03.2024 20:12:46:117;26,75
14.03.2024 20:12:46:430;26,75
14.03.2024 20:12:46:586;26,76
14.03.2024 20:12:46:664;26,76
14.03.2024 20:12:46:742;26,75
14.03.2024 20:12:46:821;26,76
14.03.2024 20:12:46:899;26,75
14.03.2024 20:12:46:977;26,76
14.03.2024 20:12:47:055;26,76
14.03.2024 20:12:47:133;26,76
14.03.2024 20:12:47:446;26,76
14.03.2024 20:12:47:524;26,77
14.03.2024 20:12:47:602;26,77
14.03.2024 20:12:47:681;26,76
14.03.2024 20:12:47:758;26,76
14.03.2024 20:12:47:837;26,77
