Дата Время;давление
14.03.2024 20:50:36:769;22,09
14.03.2024 20:50:36:847;22,09
14.03.2024 20:50:36:926;22,09
14.03.2024 20:50:37:238;22,09
14.03.2024 20:50:37:316;22,10
14.03.2024 20:50:37:394;22,10
14.03.2024 20:50:37:472;22,11
14.03.2024 20:50:37:629;22,11
14.03.2024 20:50:37:707;22,12
14.03.2024 20:50:37:863;22,12
14.03.2024 20:50:37:941;22,12
14.03.2024 20:50:38:098;22,12
14.03.2024 20:50:38:176;22,13
14.03.2024 20:50:38:410;22,13
14.03.2024 20:50:38:489;22,14
14.03.2024 20:50:38:879;22,14
14.03.2024 20:50:38:957;22,15
14.03.2024 20:50:39:191;22,15
14.03.2024 20:50:39:270;22,15
14.03.2024 20:50:39:348;22,16
14.03.2024 20:50:39:426;22,15
14.03.2024 20:50:39:504;22,15
14.03.2024 20:50:39:582;22,17
14.03.2024 20:50:39:661;22,17
14.03.2024 20:50:39:739;22,16
14.03.2024 20:50:39:817;22,17
14.03.2024 20:50:39:895;22,17
14.03.2024 20:50:39:973;22,17
14.03.2024 20:50:40:051;22,17
14.03.2024 20:50:40:129;22,18
14.03.2024 20:50:40:286;22,18
14.03.2024 20:50:40:364;22,19
14.03.2024 20:50:40:442;22,19
14.03.2024 20:50:40:520;22,19
14.03.2024 20:50:40:598;22,19
14.03.2024 20:50:40:676;22,19
14.03.2024 20:50:40:833;22,19
14.03.2024 20:50:40:911;22,20
14.03.2024 20:50:40:989;22,19
14.03.2024 20:50:41:145;22,19
14.03.2024 20:50:41:223;22,21
14.03.2024 20:50:41:380;22,21
14.03.2024 20:50:41:458;22,20
14.03.2024 20:50:41:536;22,21
14.03.2024 20:50:41:614;22,21
14.03.2024 20:50:41:692;22,22
14.03.2024 20:50:41:770;22,22
14.03.2024 20:50:41:849;22,22
14.03.2024 20:50:41:927;22,22
14.03.2024 20:50:42:005;22,22
14.03.2024 20:50:42:083;22,22
14.03.2024 20:50:42:239;22,22
14.03.2024 20:50:42:317;22,24
14.03.2024 20:50:42:396;22,23
14.03.2024 20:50:42:474;22,23
14.03.2024 20:50:42:552;22,24
14.03.2024 20:50:42:630;22,24
