Дата Время;давление
14.03.2024 21:01:49:880;22,18
14.03.2024 21:01:49:958;22,19
14.03.2024 21:01:50:036;22,18
14.03.2024 21:01:50:270;22,18
14.03.2024 21:01:50:349;22,19
14.03.2024 21:01:50:427;22,18
14.03.2024 21:01:50:505;22,19
14.03.2024 21:01:50:583;22,19
14.03.2024 21:01:50:661;22,18
14.03.2024 21:01:50:739;22,19
14.03.2024 21:01:50:896;22,19
14.03.2024 21:01:50:974;22,19
14.03.2024 21:01:51:380;22,19
14.03.2024 21:01:51:459;22,19
14.03.2024 21:01:51:615;22,20
14.03.2024 21:01:51:693;22,19
14.03.2024 21:01:51:771;22,20
14.03.2024 21:01:51:849;22,21
14.03.2024 21:01:51:927;22,20
14.03.2024 21:01:52:005;22,20
14.03.2024 21:01:52:083;22,21
14.03.2024 21:01:52:162;22,21
14.03.2024 21:01:52:240;22,20
14.03.2024 21:01:52:318;22,20
14.03.2024 21:01:52:396;22,20
14.03.2024 21:01:52:474;22,20
14.03.2024 21:01:52:630;22,22
14.03.2024 21:01:52:787;22,22
14.03.2024 21:01:52:865;22,21
14.03.2024 21:01:52:943;22,22
14.03.2024 21:01:53:334;22,22
14.03.2024 21:01:53:412;22,22
14.03.2024 21:01:53:569;22,22
14.03.2024 21:01:53:647;22,24
14.03.2024 21:01:53:725;22,22
14.03.2024 21:01:53:803;22,22
14.03.2024 21:01:53:881;22,24
14.03.2024 21:01:53:959;22,24
14.03.2024 21:01:54:037;22,23
14.03.2024 21:01:54:116;22,23
14.03.2024 21:01:54:194;22,22
14.03.2024 21:01:54:272;22,23
14.03.2024 21:01:54:350;22,23
14.03.2024 21:01:54:428;22,24
14.03.2024 21:01:54:506;22,23
14.03.2024 21:01:54:600;22,23
14.03.2024 21:01:54:678;22,24
14.03.2024 21:01:54:756;22,24
14.03.2024 21:01:54:834;22,23
14.03.2024 21:01:54:912;22,24
14.03.2024 21:01:54:991;22,24
14.03.2024 21:01:55:397;22,24
14.03.2024 21:01:55:475;22,24
14.03.2024 21:01:55:554;22,24
14.03.2024 21:01:55:788;22,24
14.03.2024 21:01:55:866;22,25
14.03.2024 21:01:55:944;21,84
14.03.2024 21:01:56:022;21,00
14.03.2024 21:01:56:100;20,18
14.03.2024 21:01:56:178;19,47
14.03.2024 21:01:56:257;18,85
14.03.2024 21:01:56:335;18,27
14.03.2024 21:01:56:413;17,77
14.03.2024 21:01:56:491;17,28
14.03.2024 21:01:56:569;16,87
14.03.2024 21:01:56:647;16,46
14.03.2024 21:01:56:725;16,11
14.03.2024 21:01:56:804;15,78
14.03.2024 21:01:56:882;15,47
14.03.2024 21:01:56:960;15,20
14.03.2024 21:01:57:038;14,93
14.03.2024 21:01:57:116;14,69
14.03.2024 21:01:57:195;14,47
14.03.2024 21:01:57:272;14,26
14.03.2024 21:01:57:351;14,08
14.03.2024 21:01:57:429;13,91
14.03.2024 21:01:57:507;13,74
14.03.2024 21:01:57:585;13,49
14.03.2024 21:01:57:663;13,15
14.03.2024 21:01:57:741;12,72
14.03.2024 21:01:57:820;12,33
14.03.2024 21:01:57:898;11,89
14.03.2024 21:01:57:976;11,46
14.03.2024 21:01:58:054;10,99
14.03.2024 21:01:58:148;10,51
14.03.2024 21:01:58:226;10,01
14.03.2024 21:01:58:304;9,55
14.03.2024 21:01:58:383;9,12
14.03.2024 21:01:58:461;8,68
14.03.2024 21:01:58:539;8,30
14.03.2024 21:01:58:617;7,89
14.03.2024 21:01:58:695;7,50
14.03.2024 21:01:58:773;7,18
14.03.2024 21:01:58:851;6,85
14.03.2024 21:01:58:930;6,56
14.03.2024 21:01:59:007;6,26
14.03.2024 21:01:59:086;5,99
14.03.2024 21:01:59:164;5,71
14.03.2024 21:01:59:242;5,45
14.03.2024 21:01:59:320;5,25
14.03.2024 21:01:59:398;5,03
14.03.2024 21:01:59:477;4,85
14.03.2024 21:01:59:555;4,66
14.03.2024 21:01:59:633;4,49
14.03.2024 21:01:59:711;4,32
14.03.2024 21:01:59:789;4,18
14.03.2024 21:01:59:867;4,01
14.03.2024 21:01:59:945;3,87
14.03.2024 21:02:00:023;3,73
14.03.2024 21:02:00:101;3,60
14.03.2024 21:02:00:180;3,49
14.03.2024 21:02:00:258;3,37
14.03.2024 21:02:00:336;3,26
14.03.2024 21:02:00:414;3,15
14.03.2024 21:02:00:493;3,06
14.03.2024 21:02:00:570;2,97
14.03.2024 21:02:00:649;2,88
14.03.2024 21:02:00:727;2,80
14.03.2024 21:02:00:805;2,72
14.03.2024 21:02:00:883;2,65
14.03.2024 21:02:00:961;2,57
14.03.2024 21:02:01:039;2,51
14.03.2024 21:02:01:117;2,46
14.03.2024 21:02:01:196;2,41
14.03.2024 21:02:01:274;2,36
14.03.2024 21:02:01:352;2,31
14.03.2024 21:02:01:430;2,28
14.03.2024 21:02:01:508;2,23
14.03.2024 21:02:01:586;2,20
14.03.2024 21:02:01:664;2,17
14.03.2024 21:02:01:743;2,14
14.03.2024 21:02:01:821;2,11
